teamPosition,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
BOTTOM,20,2,6,8,True
UTILITY,76,11,11,44,True
UTILITY,27,5,2,12,True
UTILITY,48,8,2,31,True
JUNGLE,21,4,3,6,True
BOTTOM,21,3,5,10,False
UTILITY,80,19,8,50,False
UTILITY,66,13,2,38,True
UTILITY,45,7,8,26,False
UTILITY,61,11,2,43,True
UTILITY,36,6,4,23,True
BOTTOM,28,3,8,12,True
UTILITY,54,9,4,33,False
MIDDLE,14,1,1,9,True
MIDDLE,6,0,0,6,False
UTILITY,95,10,10,64,False
UTILITY,83,13,4,52,True
UTILITY,57,7,6,35,True
UTILITY,79,13,9,50,True
UTILITY,35,5,2,21,True
JUNGLE,19,6,1,12,False
MIDDLE,24,7,6,8,False
MIDDLE,19,4,4,10,True
JUNGLE,26,5,4,12,False
MIDDLE,13,4,1,8,False
MIDDLE,34,4,9,8,True
JUNGLE,21,6,3,6,False
MIDDLE,20,0,4,6,True
MIDDLE,53,3,9,15,True
MIDDLE,28,4,9,7,True
MIDDLE,18,2,1,7,True
MIDDLE,20,3,2,10,False
BOTTOM,33,6,4,13,True
MIDDLE,23,3,3,7,False
BOTTOM,27,4,4,14,False
MIDDLE,26,6,6,10,True
JUNGLE,32,8,3,17,True
MIDDLE,22,2,4,12,False
MIDDLE,17,1,3,7,True
MIDDLE,20,3,2,9,True
JUNGLE,45,9,6,20,True
MIDDLE,17,1,3,5,True
BOTTOM,30,3,11,9,False
UTILITY,82,15,13,41,True
BOTTOM,57,5,17,13,False
BOTTOM,32,3,8,21,False
BOTTOM,30,5,6,11,True
BOTTOM,30,3,4,9,True
BOTTOM,28,4,9,10,False
BOTTOM,28,3,5,10,False
BOTTOM,22,3,7,10,True
JUNGLE,21,4,3,6,True
BOTTOM,21,3,5,10,False
BOTTOM,14,0,5,5,True
MIDDLE,20,3,2,10,False
BOTTOM,33,6,4,13,True
MIDDLE,23,3,3,7,False
BOTTOM,27,4,4,14,False
BOTTOM,33,5,11,12,True
BOTTOM,51,7,13,16,True
UTILITY,51,7,5,31,False
BOTTOM,60,9,15,34,False
BOTTOM,20,6,2,14,False
BOTTOM,30,5,10,10,False
BOTTOM,21,2,4,9,True
UTILITY,53,5,8,21,True
TOP,21,0,2,8,True
TOP,14,0,2,8,True
TOP,13,0,2,6,True
TOP,22,0,4,9,False
TOP,13,0,1,7,True
TOP,14,0,2,8,True
TOP,9,0,1,6,True
TOP,16,0,3,7,False
MIDDLE,11,0,3,3,True
MIDDLE,6,0,0,4,True
TOP,16,0,2,8,True
TOP,13,0,3,6,False
TOP,9,0,2,3,True
UTILITY,37,1,3,19,False
MIDDLE,25,0,4,11,True
TOP,17,0,3,7,True
TOP,3,0,0,2,True
TOP,25,0,3,10,True
TOP,20,0,2,9,True
TOP,7,5,1,9,False
JUNGLE,21,6,0,10,True
JUNGLE,8,0,0,5,False
JUNGLE,18,4,1,11,True
JUNGLE,7,1,0,3,False
MIDDLE,17,4,2,10,True
MIDDLE,17,6,1,14,True
JUNGLE,18,7,2,13,False
JUNGLE,25,8,1,14,True
JUNGLE,28,4,4,4,True
JUNGLE,24,4,3,9,True
BOTTOM,35,0,5,9,True
BOTTOM,14,0,1,7,True
BOTTOM,1,0,0,0,False
JUNGLE,13,3,2,3,True
JUNGLE,30,6,3,15,True
JUNGLE,17,4,5,4,False
JUNGLE,26,4,2,13,True
JUNGLE,21,3,0,5,False
JUNGLE,18,4,3,3,True
UTILITY,61,3,10,25,False
BOTTOM,23,2,1,11,False
BOTTOM,20,0,1,7,False
TOP,16,1,1,11,False
TOP,25,1,5,12,False
TOP,36,2,6,12,True
BOTTOM,21,1,0,9,False
TOP,27,0,4,12,False
JUNGLE,27,1,5,1,False
JUNGLE,41,1,9,5,False
JUNGLE,30,1,9,3,True
JUNGLE,36,2,5,4,True
JUNGLE,31,2,8,4,False
MIDDLE,21,1,8,3,False
UTILITY,68,4,13,34,False
UTILITY,54,1,9,23,False
BOTTOM,13,0,5,8,False
MIDDLE,20,2,2,10,True
UTILITY,59,4,8,24,False
UTILITY,69,3,7,31,True
BOTTOM,23,6,5,7,False
UTILITY,71,1,7,24,False
BOTTOM,17,4,3,10,False
UTILITY,28,2,5,14,False
UTILITY,22,1,0,10,True
TOP,28,0,5,12,True
TOP,25,0,0,12,False
TOP,19,0,1,9,True
TOP,8,0,0,6,False
JUNGLE,19,2,2,8,False
TOP,11,0,0,7,False
JUNGLE,24,4,3,5,False
TOP,10,0,0,6,False
JUNGLE,21,2,3,3,False
TOP,18,0,1,9,True
JUNGLE,33,7,3,10,True
TOP,18,0,3,7,False
JUNGLE,21,1,4,2,False
TOP,14,0,1,5,True
JUNGLE,21,2,2,7,True
TOP,10,0,1,5,True
JUNGLE,11,1,1,6,True
TOP,20,0,1,12,False
JUNGLE,30,5,4,7,False
TOP,6,0,0,5,False
JUNGLE,21,2,2,10,False
TOP,12,0,1,7,True
TOP,19,0,1,11,False
JUNGLE,28,5,5,13,False
BOTTOM,23,2,4,9,True
BOTTOM,24,3,4,8,True
BOTTOM,11,1,0,5,False
BOTTOM,12,1,0,11,False
BOTTOM,30,4,1,11,False
UTILITY,36,2,2,13,True
BOTTOM,17,3,1,8,False
BOTTOM,26,4,2,11,False
BOTTOM,21,4,4,6,False
BOTTOM,15,1,2,8,False
BOTTOM,32,4,1,12,True
BOTTOM,8,3,0,4,True
BOTTOM,20,2,1,8,False
TOP,15,0,0,10,True
JUNGLE,10,2,0,3,True
BOTTOM,19,3,0,9,True
UTILITY,55,4,6,21,True
JUNGLE,24,3,4,4,False
JUNGLE,29,4,9,4,True
JUNGLE,26,3,5,5,False
JUNGLE,25,4,2,5,True
JUNGLE,21,4,5,4,False
JUNGLE,33,3,3,4,True
JUNGLE,27,4,5,10,False
JUNGLE,36,9,5,16,False
JUNGLE,56,3,17,20,False
JUNGLE,41,3,6,11,False
JUNGLE,1,0,0,1,False
JUNGLE,31,1,7,9,True
JUNGLE,42,3,6,10,True
BOTTOM,24,3,3,7,True
BOTTOM,13,2,0,10,True
TOP,8,0,0,6,False
JUNGLE,19,2,2,8,False
TOP,11,0,0,7,False
JUNGLE,24,4,3,5,False
TOP,10,0,0,6,False
JUNGLE,21,2,3,3,False
JUNGLE,14,5,1,4,True
TOP,18,0,1,9,True
JUNGLE,33,7,3,10,True
TOP,18,0,3,7,False
JUNGLE,21,1,4,2,False
TOP,14,0,1,5,True
JUNGLE,21,2,2,7,True
TOP,10,0,1,5,True
JUNGLE,11,1,1,6,True
TOP,20,0,1,12,False
JUNGLE,30,5,4,7,False
TOP,6,0,0,5,False
JUNGLE,21,2,2,10,False
BOTTOM,8,0,1,4,True
BOTTOM,15,0,0,9,True
MIDDLE,19,0,0,11,False
BOTTOM,15,0,0,9,True
BOTTOM,26,0,0,17,True
MIDDLE,24,0,1,14,False
TOP,11,0,1,6,False
MIDDLE,7,0,0,5,True
MIDDLE,16,0,0,10,False
MIDDLE,18,0,0,11,True
MIDDLE,37,0,1,18,False
MIDDLE,25,0,1,13,False
MIDDLE,30,0,4,12,True
MIDDLE,11,0,0,7,True
MIDDLE,10,0,0,7,True
BOTTOM,2,0,0,2,False
MIDDLE,13,0,0,8,True
MIDDLE,26,0,0,17,False
BOTTOM,9,0,0,6,False
MIDDLE,25,0,0,16,True
MIDDLE,15,0,0,9,True
TOP,18,1,0,10,True
TOP,13,0,1,7,False
MIDDLE,9,0,1,5,False
TOP,11,0,0,8,True
TOP,20,0,4,9,True
TOP,34,1,7,14,True
MIDDLE,27,2,4,11,True
JUNGLE,14,0,0,8,False
TOP,19,0,1,10,True
BOTTOM,23,1,6,11,False
BOTTOM,28,1,0,12,True
MIDDLE,29,2,5,15,True
MIDDLE,27,0,3,13,True
MIDDLE,15,0,1,10,True
MIDDLE,12,0,1,8,True
MIDDLE,17,0,1,9,False
MIDDLE,31,4,5,13,True
TOP,17,2,0,6,True
MIDDLE,19,0,1,10,False
TOP,6,0,1,3,False
TOP,18,0,1,8,True
TOP,10,0,1,5,True
TOP,4,0,1,3,True
TOP,16,0,2,6,False
TOP,3,0,0,2,True
TOP,3,0,0,2,False
TOP,10,0,1,5,False
TOP,14,0,2,7,False
TOP,15,0,1,6,False
TOP,15,0,4,5,False
TOP,16,0,2,8,False
TOP,17,0,7,6,False
TOP,5,0,0,3,True
TOP,16,0,1,8,True
TOP,3,0,1,3,False
TOP,11,0,1,6,False
TOP,15,0,2,7,False
TOP,14,0,1,5,True
TOP,0,0,0,0,True
